country_code,country,year,month,tempdiff
AUS,Australia,2010,11,-0.375
AUS,Australia,2010,12,-0.34700000000000003
AUS,Australia,2011,1,1.064
AUS,Australia,2011,2,0.05
AUS,Australia,2011,3,-0.6779999999999999
AUS,Australia,2011,4,-0.359
AUS,Australia,2011,5,-0.9309999999999999
AUS,Australia,2011,6,-0.565
AUS,Australia,2011,7,0.7040000000000001
AUS,Australia,2011,8,1.196
AUS,Australia,2011,9,0.39399999999999996
AUS,Australia,2011,10,0.669
AUS,Australia,2011,11,0.5710000000000001
AUS,Australia,2011,12,-0.223
AUS,Australia,2012,1,0.244
AUS,Australia,2012,2,-0.059000000000000004
AUS,Australia,2012,3,-0.815
AUS,Australia,2012,4,0.24600000000000002
AUS,Australia,2012,5,-0.099
AUS,Australia,2012,6,-0.515
AUS,Australia,2012,7,-0.157
AUS,Australia,2012,8,0.46299999999999997
AUS,Australia,2012,9,1.2930000000000001
AUS,Australia,2012,10,1.01
AUS,Australia,2012,11,1.499
AUS,Australia,2012,12,1.345
AUS,Australia,2013,1,1.944
AUS,Australia,2013,2,1.021
AUS,Australia,2013,3,0.878
AUS,Australia,2013,4,1.185
AUS,Australia,2013,5,1.436
AUS,Australia,2013,6,0.835
AUS,Australia,2013,7,1.5959999999999999
AUS,Australia,2013,8,1.7380000000000002
AUS,Australia,2013,9,2.7939999999999996
AUS,Australia,2013,10,1.665
AUS,Australia,2013,11,0.795
AUS,Australia,2013,12,0.9259999999999999
AUS,Australia,2014,1,1.21
AUS,Australia,2014,2,0.353
AUS,Australia,2014,3,0.9420000000000001
AUS,Australia,2014,4,1.298
AUS,Australia,2014,5,2.001
AUS,Australia,2014,6,0.546
AUS,Australia,2014,7,0.45899999999999996
AUS,Australia,2014,8,0.424
AUS,Australia,2014,9,1.4569999999999999
AUS,Australia,2014,10,2.05
AUS,Australia,2014,11,2.021
AUS,Australia,2014,12,1.093
AUS,Australia,2015,1,0.359
AUS,Australia,2015,2,1.922
AUS,Australia,2015,3,0.865
AUS,Australia,2015,4,-0.441
AUS,Australia,2015,5,0.285
AUS,Australia,2015,6,1.305
AUS,Australia,2015,7,0.565
AUS,Australia,2015,8,0.848
AUS,Australia,2015,9,0.56
AUS,Australia,2015,10,2.975
AUS,Australia,2015,11,2.114
AUS,Australia,2015,12,1.228
AUS,Australia,2016,1,0.828
AUS,Australia,2016,2,1.2819999999999998
AUS,Australia,2016,3,1.757
AUS,Australia,2016,4,2.1180000000000003
AUS,Australia,2016,5,2.322
AUS,Australia,2016,6,1.2890000000000001
AUS,Australia,2016,7,1.13
AUS,Australia,2016,8,0.698
AUS,Australia,2016,9,0.32299999999999995
AUS,Australia,2016,10,-0.217
AUS,Australia,2016,11,0.7559999999999999
AUS,Australia,2016,12,0.9690000000000001
AUS,Australia,2017,1,1.052
AUS,Australia,2017,2,0.723
AUS,Australia,2017,3,1.6980000000000002
AUS,Australia,2017,4,0.225
AUS,Australia,2017,5,1.047
AUS,Australia,2017,6,0.491
AUS,Australia,2017,7,1.764
AUS,Australia,2017,8,1.2009999999999998
AUS,Australia,2017,9,1.4680000000000002
AUS,Australia,2017,10,1.6580000000000001
AUS,Australia,2017,11,1.028
AUS,Australia,2017,12,1.2919999999999998
AUS,Australia,2018,1,1.4980000000000002
AUS,Australia,2018,2,1.016
AUS,Australia,2018,3,1.062
AUS,Australia,2018,4,2.351
AUS,Australia,2018,5,0.638
AUS,Australia,2018,6,0.302
AUS,Australia,2018,7,1.22
AUS,Australia,2018,8,0.17600000000000002
AUS,Australia,2018,9,0.838
AUS,Australia,2018,10,1.945
AUS,Australia,2018,11,0.9059999999999999
AUS,Australia,2018,12,2.06
AUS,Australia,2019,1,2.7289999999999996
AUS,Australia,2019,2,1.435
AUS,Australia,2019,3,1.902
AUS,Australia,2019,4,1.262
AUS,Australia,2019,5,0.894
AUS,Australia,2019,6,0.23399999999999999
AUS,Australia,2019,7,1.4569999999999999
AUS,Australia,2019,8,0.384
AUS,Australia,2019,9,1.227
AUS,Australia,2019,10,2.102
AUS,Australia,2019,11,1.177
AUS,Australia,2019,12,3.127
AUS,Australia,2020,1,1.493
AUS,Australia,2020,2,1.034
AUS,Australia,2020,3,0.5379999999999999
AUS,Australia,2020,4,1.554
AUS,Australia,2020,5,-0.252
AUS,Australia,2020,6,0.998
AUS,Australia,2020,7,0.956
AUS,Australia,2020,8,1.35
AUS,Australia,2020,9,2.528
AUS,Australia,2020,10,1.143
AUS,Australia,2020,11,2.377
AUS,Australia,2020,12,0.301
AUT,Austria,2009,12,0.0
AUT,Austria,2010,1,-0.93
AUT,Austria,2010,2,0.034
AUT,Austria,2010,3,0.81
AUT,Austria,2010,4,1.386
AUT,Austria,2010,5,0.55
AUT,Austria,2010,6,1.5190000000000001
AUT,Austria,2010,7,3.088
AUT,Austria,2010,8,0.903
AUT,Austria,2010,9,-0.825
AUT,Austria,2010,10,-0.9259999999999999
AUT,Austria,2010,11,2.042
AUT,Austria,2010,12,-1.905
AUT,Austria,2011,1,1.725
AUT,Austria,2011,2,0.868
AUT,Austria,2011,3,1.97
AUT,Austria,2011,4,3.657
AUT,Austria,2011,5,2.057
AUT,Austria,2011,6,1.757
AUT,Austria,2011,7,0.21
AUT,Austria,2011,8,2.7510000000000003
AUT,Austria,2011,9,2.884
AUT,Austria,2011,10,0.34700000000000003
AUT,Austria,2011,11,0.45799999999999996
AUT,Austria,2011,12,2.661
AUT,Austria,2012,1,2.5810000000000004
AUT,Austria,2012,2,-3.3819999999999997
AUT,Austria,2012,3,3.822
AUT,Austria,2012,4,1.4409999999999998
AUT,Austria,2012,5,2.227
AUT,Austria,2012,6,2.583
AUT,Austria,2012,7,2.169
AUT,Austria,2012,8,3.0410000000000004
AUT,Austria,2012,9,1.212
AUT,Austria,2012,10,0.8320000000000001
AUT,Austria,2012,11,2.529
AUT,Austria,2012,12,0.474
AUT,Austria,2013,1,1.995
AUT,Austria,2013,2,-0.626
AUT,Austria,2013,3,-1.1159999999999999
AUT,Austria,2013,4,1.9869999999999999
AUT,Austria,2013,5,0.534
AUT,Austria,2013,6,0.988
AUT,Austria,2013,7,3.239
AUT,Austria,2013,8,2.472
AUT,Austria,2013,9,0.33299999999999996
AUT,Austria,2013,10,2.031
AUT,Austria,2013,11,1.1520000000000001
AUT,Austria,2013,12,2.5180000000000002
AUT,Austria,2014,1,4.387
AUT,Austria,2014,2,3.63
AUT,Austria,2014,3,4.051
AUT,Austria,2014,4,2.958
AUT,Austria,2014,5,0.611
AUT,Austria,2014,6,1.5530000000000002
AUT,Austria,2014,7,1.5719999999999998
AUT,Austria,2014,8,0.076
AUT,Austria,2014,9,1.011
AUT,Austria,2014,10,2.938
AUT,Austria,2014,11,3.8560000000000003
AUT,Austria,2014,12,2.5989999999999998
AUT,Austria,2015,1,3.3680000000000003
AUT,Austria,2015,2,0.7340000000000001
AUT,Austria,2015,3,1.942
AUT,Austria,2015,4,1.35
AUT,Austria,2015,5,1.682
AUT,Austria,2015,6,1.9969999999999999
AUT,Austria,2015,7,4.2219999999999995
AUT,Austria,2015,8,4.062
AUT,Austria,2015,9,0.491
AUT,Austria,2015,10,0.505
AUT,Austria,2015,11,3.2539999999999996
AUT,Austria,2015,12,4.265
AUT,Austria,2016,1,2.153
AUT,Austria,2016,2,4.2589999999999995
AUT,Austria,2016,3,1.492
AUT,Austria,2016,4,1.952
AUT,Austria,2016,5,1.138
AUT,Austria,2016,6,1.9480000000000002
AUT,Austria,2016,7,2.628
AUT,Austria,2016,8,1.57
AUT,Austria,2016,9,3.108
AUT,Austria,2016,10,-0.073
AUT,Austria,2016,11,0.937
AUT,Austria,2016,12,1.345
AUT,Austria,2017,1,-2.309
AUT,Austria,2017,2,3.253
AUT,Austria,2017,3,4.37
AUT,Austria,2017,4,0.872
AUT,Austria,2017,5,2.302
AUT,Austria,2017,6,3.648
AUT,Austria,2017,7,2.445
AUT,Austria,2017,8,3.323
AUT,Austria,2017,9,-0.823
AUT,Austria,2017,10,1.976
AUT,Austria,2017,11,0.78
AUT,Austria,2017,12,1.23
AUT,Austria,2018,1,4.894
AUT,Austria,2018,2,-1.8319999999999999
AUT,Austria,2018,3,-0.532
AUT,Austria,2018,4,5.5
AUT,Austria,2018,5,4.109
AUT,Austria,2018,6,2.739
AUT,Austria,2018,7,2.7939999999999996
AUT,Austria,2018,8,4.103
AUT,Austria,2018,9,2.408
AUT,Austria,2018,10,2.864
AUT,Austria,2018,11,2.474
AUT,Austria,2018,12,1.956
AUT,Austria,2019,1,0.9179999999999999
AUT,Austria,2019,2,3.702
AUT,Austria,2019,3,3.377
AUT,Austria,2019,4,2.231
AUT,Austria,2019,5,-1.227
AUT,Austria,2019,6,5.071000000000001
AUT,Austria,2019,7,2.897
AUT,Austria,2019,8,3.3089999999999997
AUT,Austria,2019,9,1.3130000000000002
AUT,Austria,2019,10,2.795
AUT,Austria,2019,11,2.552
AUT,Austria,2019,12,3.19
AUT,Austria,2020,1,3.418
AUT,Austria,2020,2,5.0489999999999995
AUT,Austria,2020,3,2.0069999999999997
AUT,Austria,2020,4,2.926
AUT,Austria,2020,5,0.5670000000000001
AUT,Austria,2020,6,1.263
AUT,Austria,2020,7,1.82
AUT,Austria,2020,8,3.168
AUT,Austria,2020,9,2.004
AUT,Austria,2020,10,0.9890000000000001
AUT,Austria,2020,11,1.879
AUT,Austria,2020,12,2.286
BEL,Belgium,2009,12,0.0
BEL,Belgium,2010,1,-2.404
BEL,Belgium,2010,2,-0.38
BEL,Belgium,2010,3,0.8140000000000001
BEL,Belgium,2010,4,1.406
BEL,Belgium,2010,5,-1.203
BEL,Belgium,2010,6,1.534
BEL,Belgium,2010,7,3.153
BEL,Belgium,2010,8,0.37200000000000005
BEL,Belgium,2010,9,-0.503
BEL,Belgium,2010,10,-0.083
BEL,Belgium,2010,11,0.491
BEL,Belgium,2010,12,-4.067
BEL,Belgium,2011,1,1.535
BEL,Belgium,2011,2,1.9809999999999999
BEL,Belgium,2011,3,1.8630000000000002
BEL,Belgium,2011,4,4.737
BEL,Belgium,2011,5,2.207
BEL,Belgium,2011,6,1.26
BEL,Belgium,2011,7,-0.7040000000000001
BEL,Belgium,2011,8,1.054
BEL,Belgium,2011,9,2.035
BEL,Belgium,2011,10,1.415
BEL,Belgium,2011,11,2.1069999999999998
BEL,Belgium,2011,12,2.755
BEL,Belgium,2012,1,2.841
BEL,Belgium,2012,2,-2.2030000000000003
BEL,Belgium,2012,3,3.278
BEL,Belgium,2012,4,0.305
BEL,Belgium,2012,5,2.0980000000000003
BEL,Belgium,2012,6,0.294
BEL,Belgium,2012,7,0.457
BEL,Belgium,2012,8,2.27
BEL,Belgium,2012,9,0.095
BEL,Belgium,2012,10,0.263
BEL,Belgium,2012,11,1.12
BEL,Belgium,2012,12,1.578
BEL,Belgium,2013,1,0.26
BEL,Belgium,2013,2,-1.21
BEL,Belgium,2013,3,-2.4859999999999998
BEL,Belgium,2013,4,0.513
BEL,Belgium,2013,5,-0.805
BEL,Belgium,2013,6,0.275
BEL,Belgium,2013,7,2.7739999999999996
BEL,Belgium,2013,8,1.636
BEL,Belgium,2013,9,0.43200000000000005
BEL,Belgium,2013,10,2.081
BEL,Belgium,2013,11,0.532
BEL,Belgium,2013,12,2.458
BEL,Belgium,2014,1,3.697
BEL,Belgium,2014,2,3.7510000000000003
BEL,Belgium,2014,3,3.498
BEL,Belgium,2014,4,3.655
BEL,Belgium,2014,5,0.8809999999999999
BEL,Belgium,2014,6,1.285
BEL,Belgium,2014,7,2.4530000000000003
BEL,Belgium,2014,8,-0.358
BEL,Belgium,2014,9,1.81
BEL,Belgium,2014,10,3.056
BEL,Belgium,2014,11,2.722
BEL,Belgium,2014,12,1.4069999999999998
BEL,Belgium,2015,1,1.78
BEL,Belgium,2015,2,0.406
BEL,Belgium,2015,3,1.28
BEL,Belgium,2015,4,1.4269999999999998
BEL,Belgium,2015,5,0.612
BEL,Belgium,2015,6,1.061
BEL,Belgium,2015,7,2.576
BEL,Belgium,2015,8,2.7739999999999996
BEL,Belgium,2015,9,-0.648
BEL,Belgium,2015,10,-0.095
BEL,Belgium,2015,11,3.822
BEL,Belgium,2015,12,5.865
BEL,Belgium,2016,1,2.642
BEL,Belgium,2016,2,2.29
BEL,Belgium,2016,3,0.254
BEL,Belgium,2016,4,0.40700000000000003
BEL,Belgium,2016,5,1.63
BEL,Belgium,2016,6,1.44
BEL,Belgium,2016,7,1.864
BEL,Belgium,2016,8,1.995
BEL,Belgium,2016,9,3.698
BEL,Belgium,2016,10,-0.161
BEL,Belgium,2016,11,0.474
BEL,Belgium,2016,12,1.091
