Country,Time,Distribution Losses Electricity,"Net Electricity Production Coal, Peat and Manufactured Gases",Net Electricity Production Combustible Renewables,Net Electricity Production Geothermal,Net Electricity Production Hydro,Net Electricity Production Natural Gas,Net Electricity Production Not Specified,Net Electricity Production Nuclear,Net Electricity Production Oil and Petroleum Products,Net Electricity Production Other Combustible Non-Renewables,Net Electricity Production Other Renewables,Net Electricity Production Solar,Net Electricity Production Wind,Total Exports Electricity,Total Imports Electricity,Used for pumped storage Electricity
Argentina,Jun-16,,97.99799999999999,577.089,0.0,2444.729,6639.911,,702.222,1893.8020000000001,0.0,,0.7509999999999999,41.783,,,
Argentina,Jun-17,,181.451,109.501,0.0,2492.291,7267.15,,243.79,1573.5020000000002,0.0,,1.122,53.486000000000004,,,
Argentina,Jun-18,,303.2648,146.93,0.0,2672.0406,7620.2954,0.0,748.4680000000001,1132.9512,0.0,0.0,1.27,90.1838,,,
Argentina,Jun-19,,149.0908,155.9184,0.0,2082.3117,6951.8512,0.0,746.0853,346.2331,0.0,0.0,40.4754,405.9942,,,
Argentina,Jun-20,,98.86399999999999,192.66099999999997,0.0,2170.2652,6773.0636,0.0,931.6715,461.00199999999995,0.0,0.0,59.5207,724.0146,,,
Argentina,Jun-21,,267.954,203.2043,0.0,1408.3335,7380.9826,0.0,1069.5852,1345.1075,0.0,0.0,105.0676,1105.7202,,,
Argentina,Jun-22,,334.0161,185.8822,,2368.6684,5976.6435,,682.5585,2315.9104,,,157.52700000000002,1083.0736,,,
Argentina,Mar-15,,247.979,86.054,0.0,2142.899,7363.379,,631.876,1903.254,0.0,0.0,1.3130000000000002,41.141999999999996,,,
Argentina,Mar-16,,156.701,47.548,0.0,2310.101,6515.6230000000005,,601.438,1253.15,0.0,,1.2570000000000001,49.699,,,
Argentina,Mar-17,,161.681,102.999,0.0,2456.312,7090.955,,514.62,1315.305,0.0,,1.381,43.24100000000001,,,
Argentina,Mar-18,,288.844,53.7996,0.0,2360.3319,7893.8952,0.0,509.8864,527.9277,0.0,0.0,2.0048,49.8618,,,
Argentina,Mar-19,,0.0,102.9188,0.0,2154.4827,6972.2648,0.0,530.2121,41.7964,0.0,0.0,50.3493,305.6787,,,
Argentina,Mar-20,,198.4896,115.0912,0.0,1853.7241,7995.2466,0.0,932.5598,283.2139,0.0,0.0,97.6025,658.1173,,,
Argentina,Mar-21,,179.3354,135.9548,0.0,1629.3355,7051.2571,0.0,714.4851,672.5139,0.0,0.0,159.9726,943.8399,,,
Argentina,Mar-22,,220.2299,164.8761,,1320.5531,6109.8037,,756.038,1682.3329999999999,,,261.7994,1255.2084,,,
Argentina,May-15,,280.55,68.275,0.0,1827.25,7112.066999999999,,339.55199999999996,1902.151,0.0,0.0,1.123,47.972,,,
Argentina,May-16,,46.442,212.24900000000002,0.0,2836.2790000000005,5918.271,,763.044,2003.11,0.0,,0.513,33.429,,,
Argentina,May-17,,201.56,56.411,0.0,2494.18,7260.554,,195.725,767.0169999999999,0.0,,1.136,40.923,,,
Argentina,May-18,,137.0785,104.213,0.0,2242.8179,7403.8552,0.0,759.6601,366.0921,0.0,0.0,1.2501,62.327,,,
Argentina,May-19,,100.0751,119.8157,0.0,2171.9999,6866.8,0.0,841.1869,38.361,0.0,0.0,41.7789,328.13699999999994,,,
Argentina,May-20,,24.4611,132.1171,0.0,1620.6222,6729.9543,0.0,1019.193,21.0614,0.0,0.0,71.9245,721.9713,,,
Argentina,May-21,,309.8673,156.4745,0.0,1632.2826,6185.3412,0.0,719.7501,1402.7520000000002,0.0,0.0,122.21799999999999,1015.2812,,,
Argentina,May-22,,216.4407,176.8444,,1795.9127,6020.4833,,632.7073,1623.2025,,,186.7538,1124.9937,,,
Argentina,Nov-15,,277.518,93.069,0.0,2461.563,5170.795999999999,,626.515,1228.492,0.0,0.0,1.337,45.763999999999996,,,
Argentina,Nov-16,,176.455,32.946999999999996,0.0,2514.232,5821.073,,651.717,1151.12,0.0,,1.412,45.753,,,
